,0.0,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
$A_{1}$,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
$A_{2}$,11,11,11,11,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11
$A_{3}$,9,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12
$A_{4}$,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,4,4,4,4,4,4
$A_{5}$,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,7
$A_{6}$,15,15,15,15,15,15,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15
$A_{7}$,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,6
$A_{8}$,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16
$A_{9}$,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
$A_{10}$,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1
$A_{11}$,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
$A_{12}$,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14
$A_{13}$,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
$A_{14}$,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
$A_{15}$,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
$A_{16}$,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10
